system_id,method,pes_calls,tot_time,success,termination_status,rmsd_init_saddle,barrier,mol_id,spin
56_doublets,cg_no,340,2048.977,True,GOOD,0.3382677824021983,-0.5879440424650966,56,doublets
56_singlets,cg_no,448,1686.023,True,GOOD,0.7451987209145151,-1.5778966690850211,56,singlets
57_doublets,cg_no,373,2522.618,True,GOOD,0.5063828138934946,-2.648242337641932,57,doublets
57_singlets,cg_no,572,2655.939,True,GOOD,1.2554443115930318,-2.1711815838843904,57,singlets
58_doublets,cg_no,201,1074.092,True,GOOD,0.3959671082917182,-0.4667589724685967,58,doublets
58_singlets,cg_no,392,1631.429,True,GOOD,0.6150506089653512,-2.138189562390835,58,singlets
59_doublets,cg_no,163,876.074,True,GOOD,0.2232196084374121,-1.1062080428800982,59,doublets
59_singlets,cg_no,277,1004.966,True,GOOD,0.6216191698421214,-2.3030041115480344,59,singlets
60_doublets,cg_no,120,712.207,True,GOOD,0.1768654485719352,-0.6182869426029356,60,doublets
60_singlets,cg_no,0,0.0,False,OPTIMIZER_ERROR,13.875507204335364,,60,singlets
61_doublets,cg_no,488,2486.818,True,GOOD,1.3019005322975656,-1.8988394974076075,61,doublets
61_singlets,cg_no,151,588.841,True,GOOD,0.238794812134778,-2.330186167323518,61,singlets
62_doublets,cg_no,265,1216.793,True,GOOD,0.3713855356355909,-2.0496250936839715,62,doublets
62_singlets,cg_no,236,840.343,True,GOOD,0.3769097728979926,-2.0099368274895824,62,singlets
63_doublets,cg_no,309,1680.622,True,GOOD,0.4984846968701382,-1.4966297095206755,63,doublets
63_singlets,cg_no,226,866.977,True,GOOD,0.5289134483770406,-6.011746015701647,63,singlets
64_doublets,cg_no,238,1213.443,True,GOOD,0.4311035259818646,-1.599157942169768,64,doublets
64_singlets,cg_no,183,721.933,True,GOOD,0.3228488120345871,-1.8858332177569537,64,singlets
65_doublets,cg_no,500,2407.457,True,GOOD,0.5368342644296016,-1.4715564471898688,65,doublets
65_singlets,cg_no,159,560.272,True,GOOD,0.3800785226367096,-1.9199827749152971,65,singlets
66_doublets,cg_no,480,2468.38,True,GOOD,1.2365454282752375,-3.633585607843088,66,doublets
66_singlets,cg_no,639,2297.77,True,GOOD,41.77026209673966,-3.72028441394923,66,singlets
67_doublets,cg_no,831,4739.782,True,GOOD,0.7786140470194529,-1.564840522263694,67,doublets
67_singlets,cg_no,676,2874.794,True,GOOD,1.6224472464916295,0.1384036764848133,67,singlets
68_doublets,cg_no,576,3278.646,True,GOOD,1.0833760806107908,-1.3986857923646312,68,doublets
68_singlets,cg_no,270,1134.72,True,GOOD,0.2917725580534474,-3.72536714011585,68,singlets
69_doublets,cg_no,276,1589.033,True,GOOD,0.3173714023493207,-0.3017240698427486,69,doublets
69_singlets,cg_no,475,1855.788,True,GOOD,3.495240500492719,-0.9537479333648662,69,singlets
70_doublets,cg_no,103,603.496,True,GOOD,0.2037956181245275,-0.4225768329288257,70,doublets
70_singlets,cg_no,423,1923.242,True,GOOD,3.40351872064266,-1.1839826262166753,70,singlets
71_doublets,cg_no,0,0.0,False,BAD_MAX_ITERATIONS,32.98695863144419,,71,doublets
71_singlets,cg_no,185,659.194,True,GOOD,0.6651080779950073,-3.5720390128262807,71,singlets
72_doublets,cg_no,126,752.229,True,GOOD,0.1506584142734149,-0.980219050087726,72,doublets
72_singlets,cg_no,318,1212.178,True,GOOD,0.3528853756263213,-0.9538671549289576,72,singlets
73_doublets,cg_no,128,914.096,True,GOOD,0.2140046965693491,-0.9824951217487978,73,doublets
73_singlets,cg_no,764,4558.187,True,GOOD,2.193295814103989,-2.8983478157115314,73,singlets
74_doublets,cg_no,255,1337.753,True,GOOD,20.357212950691206,-1.9397424691942435,74,doublets
74_singlets,cg_no,225,834.624,True,GOOD,0.4609918828479454,-3.1987339875631733,74,singlets
75_doublets,cg_no,278,1309.863,True,GOOD,0.756745490629721,-1.8187283665101857,75,doublets
75_singlets,cg_no,160,595.059,True,GOOD,0.2199463176280107,-1.4676575667999714,75,singlets
76_doublets,cg_no,163,714.852,True,GOOD,0.3227680596652962,-1.2669852362732854,76,doublets
76_singlets,cg_no,802,3309.729,True,GOOD,13.528151200046944,-3.2077142077632743,76,singlets
77_doublets,cg_no,305,1814.901,True,GOOD,0.4269828081990559,-0.2203603894195112,77,doublets
77_singlets,cg_no,342,1318.57,True,GOOD,0.5421533364563788,-2.3881171052953505,77,singlets
78_doublets,cg_no,194,971.379,True,GOOD,0.2003011118792104,-3.43378163030684,78,doublets
78_singlets,cg_no,937,3753.764,True,GOOD,24.84864202282662,-6.212566024722037,78,singlets
79_doublets,cg_no,159,788.752,True,GOOD,0.2644344781666894,-1.957322069354632,79,doublets
79_singlets,cg_no,80,303.0,True,GOOD,0.2092562764013646,-2.4073103705713947,79,singlets
80_doublets,cg_no,204,1011.54,True,GOOD,0.2644288358182075,-1.079989702043349,80,doublets
80_singlets,cg_no,220,830.916,True,GOOD,0.4839591040804331,-1.2628789124264586,80,singlets
81_doublets,cg_no,66,270.903,True,GOOD,0.1802887375023347,-0.7881872498392113,81,doublets
81_singlets,cg_no,1006,3965.914,True,GOOD,6.9387998489157,-3.066129675367847,81,singlets
82_doublets,cg_no,193,1127.851,True,GOOD,0.1490323744395787,-2.1333978607053723,82,doublets
82_singlets,cg_no,695,2761.764,True,GOOD,2.440466544780627,-1.7065261538646157,82,singlets
83_doublets,cg_no,425,1808.121,True,GOOD,6.860335551325514,-1.0924266134188656,83,doublets
83_singlets,cg_no,126,493.618,True,GOOD,0.2264664298629049,-2.2605701917800616,83,singlets
84_doublets,cg_no,1910,11021.877,True,GOOD,6.662258530493072,-5.350252959093268,84,doublets
84_singlets,cg_no,217,816.486,True,GOOD,0.3451577464383322,-1.3806560267021268,84,singlets
85_doublets,cg_no,327,2452.942,True,GOOD,0.5853123064758419,-1.35679029763196,85,doublets
85_singlets,cg_no,1682,8227.166,True,GOOD,30.84678225577965,-5.961416107787954,85,singlets
86_doublets,cg_no,479,2361.485,True,GOOD,0.9422588276599264,-2.003979329091635,86,doublets
86_singlets,cg_no,1094,4651.147,True,GOOD,1.3290324657753003,0.0898506307457864,86,singlets
87_doublets,cg_no,980,6968.536,True,GOOD,1.298665494694258,-1.2590294671681477,87,doublets
87_singlets,cg_no,106,378.135,True,GOOD,0.6618133264371241,-4.0538984389277175,87,singlets
88_doublets,cg_no,281,1606.172,True,GOOD,1.013391280854478,-0.5155936724477215,88,doublets
88_singlets,cg_no,178,676.986,True,GOOD,0.2174967716238483,-0.7760564570626229,88,singlets
89_doublets,cg_no,533,2636.648,True,GOOD,22.95934061954546,-2.049511188361066,89,doublets
89_singlets,cg_no,112,389.931,True,GOOD,3.426999398006218,-5.50215823184044,89,singlets
90_doublets,cg_no,149,649.577,True,GOOD,0.2983845596798186,-2.017300243158388,90,doublets
90_singlets,cg_no,157,557.821,True,GOOD,0.2916938981707982,-1.926683358493392,90,singlets
91_doublets,cg_no,280,1414.928,True,GOOD,0.3345705346622903,-1.5325482424213988,91,doublets
91_singlets,cg_no,268,1039.805,True,GOOD,2.0171291332638166,-2.318749937644497,91,singlets
92_doublets,cg_no,384,1708.821,True,GOOD,0.5833032539440601,-1.630255652595224,92,doublets
92_singlets,cg_no,122,437.795,True,GOOD,0.2495764890133846,-1.0564145262305829,92,singlets
93_doublets,cg_no,132,689.055,True,GOOD,0.1777357799186877,-0.0547711661056382,93,doublets
93_singlets,cg_no,226,922.371,True,GOOD,0.2928371869700047,-2.150461372410064,93,singlets
94_doublets,cg_no,305,1434.944,True,GOOD,0.3604421559360051,-1.4148129242694267,94,doublets
94_singlets,cg_no,418,1651.999,True,GOOD,3.559451434585898,-1.2347771418499178,94,singlets
95_doublets,cg_no,335,1708.428,True,GOOD,0.5035898017517206,-5.735759201876135,95,doublets
95_singlets,cg_no,618,2555.42,True,GOOD,0.4832006795644638,-2.291926677837182,95,singlets
96_doublets,cg_no,95,512.282,True,GOOD,0.1590997623819939,-0.7664513477375294,96,doublets
96_singlets,cg_no,308,1117.937,True,GOOD,1.759746004164216,-3.802231245165786,96,singlets
97_doublets,cg_no,296,1460.399,True,GOOD,0.6421532750536918,-0.4018964442220749,97,doublets
97_singlets,cg_no,642,2682.115,True,GOOD,1.7020309745254163,-5.435249724212554,97,singlets
98_doublets,cg_no,182,853.129,True,GOOD,0.3063841943073705,-2.402308255404023,98,doublets
98_singlets,cg_no,584,2493.796,True,GOOD,35.53373699860952,-2.434640439114446,98,singlets
99_doublets,cg_no,272,1797.799,True,GOOD,0.3438927819470002,-0.8974304710554861,99,doublets
99_singlets,cg_no,657,3489.655,True,GOOD,15.506623322537706,-2.7321972595227635,99,singlets
100_doublets,cg_no,185,1040.273,True,GOOD,0.237539470749766,-5.951752465971367,100,doublets
100_singlets,cg_no,350,1278.314,True,GOOD,0.6224850882387558,-3.2165528032564907,100,singlets
101_doublets,cg_no,164,981.963,True,GOOD,0.2079215214986187,-0.5803074333580298,101,doublets
101_singlets,cg_no,228,835.104,True,GOOD,0.6567885714421997,-1.869204151113081,101,singlets
102_doublets,cg_no,0,0.0,False,BAD_MAX_ITERATIONS,21.992386905809905,,102,doublets
102_singlets,cg_no,369,1354.026,True,GOOD,0.519129220367434,-3.008869512897945,102,singlets
103_doublets,cg_no,218,1146.912,True,GOOD,0.1512155644838692,-1.1665065657070954,103,doublets
103_singlets,cg_no,127,497.688,True,GOOD,0.1831519241346665,-0.598745631526981,103,singlets
104_doublets,cg_no,0,0.0,False,not set,,,104,doublets
104_singlets,cg_no,473,1925.61,True,GOOD,4.449618445747223,-2.749501267207961,104,singlets
105_doublets,cg_no,529,3066.155,True,GOOD,0.8263035425933565,-2.562451868782773,105,doublets
105_singlets,cg_no,451,2035.39,True,GOOD,0.5285552134464004,-1.0622176036376914,105,singlets
106_doublets,cg_no,119,632.406,True,GOOD,0.1822220705279804,-0.7187752975814874,106,doublets
106_singlets,cg_no,435,1651.831,True,GOOD,22.310622214025457,-2.382439389863066,106,singlets
107_doublets,cg_no,439,2046.578,True,GOOD,8.921702513812232,-1.0718441120488933,107,doublets
107_singlets,cg_no,527,2464.824,True,GOOD,0.7676142000668532,-3.5051196724325564,107,singlets
